Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Endless Masturbation,Peace Love & Pitbulls,1994,0.212045405,370.46812,69.644
DNA,1200 Mics,2003,0.657211395,483.39546,148.098
Spiral Veil,Robedoor,2006,nan,448.86159,144.363
Demonios,Estopa,2001,0.549998637,224.49587,139.404
She No Ready,Little John,1985,0,202.08281,162.691
Settle With Me,Ini Kamoze,2007,nan,273.97179,85.288
No Me Culpes,Jaguares,1999,0.439202489,240.5873,63.052
You Make Me Feel So Young,Bobby Short,2010,nan,113.00526,173.791
Ayurvedic,Ozric Tentacles,1990,nan,657.44934,164.073
Little Elf,The Out Crowd,2004,0.571888721,271.51628,160.636
Look,polarkreis 18,2005,nan,242.80771,118.649
Cool Disposition,"Arthur ""Big Boy"" Crudup",1945,nan,188.44689,103.797
LUV in JAPAN,Vinylshakerz,2006,nan,392.30649,127.952
Let's Love (Album Version),Vanessa Williams,2005,0.323112121,296.202,131.946
A Convivial Feast of the Peace Beast,An Albatross,2008,0.499752328,85.73342,120.817
Bullshit,The Dishrags,2005,nan,68.67546,129.03
Ignition,R. Kelly,2003,0.753100269,186.06975,88.627
Now I'm Alone With You,Brother Beyond,1990,nan,226.01098,123.059
Chariots Of Fire,Vangelis,1981,0.826614614,1240.65914,169.153
J'Ai Tout Démoli,La Rue Kétanou,2002,0.554452304,255.55546,123.03
From This Moment On,Chris Connor,1995,nan,145.8673,66.204
Out Of Touch,Osker,2001,0.522255789,190.98077,209.036
Dance Hall Drug,Boys Like Girls,2006,0.817744846,209.91955,80.005
Erased,Sunk Loto,2003,nan,210.05016,87.995
We're Always on the Wrong Side of Sunrise (feat. Tilson),Head Like a Kite,2010,0.522559447,178.15465,94.094
Le Vent,L'Aura,2007,0.443291312,43.88526,60.752
East 2 West (Album Version),Fourplay,1995,nan,356.67546,100.091
Dead Wrong,Theo Tams,2009,0.304169503,213.52444,105.966
It Serves Me Right To Suffer,John Lee Hooker,1974,0.599460307,350.04036,85.801
TUNNEN SINUT,KAUKO  RÖYHKÄ,1994,0,205.37424,147.158
Gelido,Alex Britti,1998,nan,286.4322,85.999
Out/In (LP Version),Remy Zero,2001,0.596213192,198.66077,164.202
What I Am,Ninety Pound Wuss,1999,nan,220.02893,101.226
Corpse,Sentinel Beast,1986,0.471581106,249.3122,109.405
Singer In A Band,Mark Wills,2003,0.375984302,197.48526,143.86
Get The Wand,Harry Gregson-Williams,2004,0.270775999,128.88771,89.263
Insomniac Olympics,Blockhead,2003,0.734231973,306.59873,87.983
Marie-France,La Souris Déglinguée,1988,0.33526011,127.9473,140.495
The Sky,Stephan Micus,2004,0.377531645,276.45342,17.785
Shangri-La,Teena Marie,1986,nan,307.40853,166.865
Parade: Choral,Erik Satie,2008,nan,65.72363,50.061
Virus,LaFee,2006,0.563755208,237.03465,130.165
Memphis [Featuring Al Kapone] (Explicit Album Version),8Ball & MJG,2007,0.582522903,238.99383,156.948
Who's Gonna Help Me Now?,Slapp Happy,2000,nan,197.0673,125.747
Stalker Song,Danzig,1994,0.700425085,348.44689,86.684
Out On The Water,The Court & Spark,2004,0.386477291,224.96608,118.362
The Noise Institute (1994 Mix by Iszoloscope),Haujobb,2005,0.359535247,334.28853,136.727
City,Sara Bareilles,2004,0.775037231,273.81506,147.66
Yellow Keys,Martyn Bates,1994,0,62.09261,89.123
Makers,Dietrich Schoenemann,1998,nan,330.29179,136.064
Sparkar & Slag,Kultiration,2004,nan,323.81342,186.272
Prologue For The Pure Of Heart,The Gay Blades,2008,0.471971172,190.87628,75.301
Ritual (Spoken Protest),Downset,1995,nan,341.15873,91.954
When The Chips Are Down,Anais Mitchell [feat. The Haden Triplets],2010,0.665473688,134.29506,96.054
Intro,Sabbat,1988,nan,124.39465,139.487
One Thing Deh 'Pon Me Mind,Ranking Joe,1996,nan,209.21424,139.66
Evermore,Young Dubliners,2005,0,228.28363,99.964
Vicarious Atonement,The Mars Volta,2006,0.677378834,439.90159,175.339
Revolution,Lil' Kim (Featuring Grace Jones and Lil' Cease),2000,0.554493654,294.86975,175.667
Liod-2,Helium Vola,2004,0.570809329,76.01587,168.626
And I Love You,Chelsea,2005,0,183.24853,153.514
Everything's Different,The Mabels,1998,nan,170.47465,105.096
Hello Mary Lou,Creedence Clearwater Revival,1972,nan,132.62322,103.601
Train And The River,The Stone Poneys,1967,0,143.46404,139.728
Blue Pedal,Kitchens Of Distinction,1992,nan,454.00771,109.788
Der Letzte Tag,Prager Handgriff,1998,0.229144104,337.3971,150.165
New York City (Album Version),Keith Caputo,1999,nan,275.46077,144.64
Power People,The Rhythmic State,1993,nan,293.32853,137.915
La Única Voz,No Te Va Gustar,2002,0.482137585,321.12281,164.966
Neighborhood Rockstarz,Totally Insane ft Money Marc _ Scoot Dogg_ Backstreet Mentality,1995,nan,276.79302,188.324
Eg Trives,Bjørn Eidsvåg,2006,0.345802234,296.01914,88.173
Girl Singing In The Wreckage,Black Box Recorder,1998,0.537536766,162.97751,80.95
Alien Bzzing,Fireside,1997,0.352232225,345.96526,126.354
Turnabout of a City,Gak Sato,2001,0.253834736,311.09179,185.995
Sweet Jane,Mott The Hoople,1972,0.664065573,258.0371,127.981
By My Side,The Dirtbombs,2005,0.340922756,202.08281,117.486
An Introduction To Science,Solvent,2004,nan,84.58404,158.068
Wandering Pilgrim (It's The Thought Album Version),Twila Paris,1992,nan,246.38649,109.226
A List Of Things,Damhnait Doyle,1998,0.288481643,195.70893,98.137
Snatch It And Grab It,Charley Patton,2001,0.288481643,188.70812,100.118
I Want It All (Amended Album Version),Transplants,2005,0.68379516,236.79955,193.187
Johnny B. Goode,Jay & The Americans,1970,0,169.61261,126.17
Ikuinen leikki,PMMP,2003,0.629762225,220.42077,98.011
Tal Vez Es Amor (Talvez Seja Amor),Chayanne,2001,0.569029086,275.3824,91.936
Session Singer,Clifford T. Ward,2003,nan,197.09342,110.948
Through Evidence,Ion Dissonance,2007,0.704035478,167.05261,145.574
The Storm Is Over Now,Gods Property,1997,0.633197379,347.01016,91.645
This Could Be My Moment,The Verve,2004,0.746737667,239.64689,95.998
Brasileirinho,Novos Baianos,1976,0.464923994,215.97995,106.615
Purgatory,Tech N9ne,2001,nan,20.89751,167.25
Dark Moon,Bonnie Guitar,1989,nan,163.10812,96.633
Elder Greene Blues (Take 2),Charley Patton,1990,nan,181.31546,131.747
The Scent Of Obscurity,Asphyx,2000,0.535215806,174.47138,122.951
My Gal,Yonder Mountain String Band,2001,0.490520088,352.05179,139.25
"Does any one song in ""Hair"" express your philosophy?",Galt MacDermot,1979,nan,22.33424,121.581
Sink Low,Powderfinger,1994,0.546819385,132.67546,91.399
Does Anyone Love Me Now?,Blue Roses,2009,0.621583072,248.47628,204.582
Indiana,David Mead,2004,0.424090811,251.92444,118.837
I'll Never Be,Reel Big Fish,1996,0.638414459,195.18649,200.189
I Don't Care,The Gruesome Twosome (DJ Morpheus & Bertrand Burgalat),1993,0.220818117,314.25261,104.856
The Serpent,Stephen Warbeck,2003,nan,231.54893,143.94
becoming one with nature,Yesterdays Rising,2005,0.439202489,209.8673,156.757
Mis Cuenno,Mojinos Escozios,2001,0,264.93342,88.038
Paradextika,Slonovski Bal,2005,0.368698446,221.83138,235.682
Bun Up,Elephant Man,2004,0,248.55465,95.387
No One,Alicia Keys,2007,nan,245.31546,90.093
Old Dirt Hill (Bring That Beat Back),DAVE MATTHEWS BAND,2005,0.723677104,298.26567,113.479
Uptown,Sylk 130,1998,0.212045405,272.84853,103.026
I Asked For Water (She Gave Me Gasoline),James Blood Ulmer,2003,0.391067277,505.75628,128.34
When I Leave,Biosphere,1997,nan,373.75955,110.017
The Charm of the Seer,Stream of Passion feat. Ayreon,2006,0.508683073,190.98077,92.864
Rudebox (Chicken Lips Malfunction) (Explicit),Robbie Williams,2006,nan,522.08281,110.003
Moving Into Light (O/C Club Edit),Black Fras,2006,0.203321182,369.60608,125.998
From Dilmun_ The Far,Herbst9,2005,0.568408825,352.86159,149.814
Chick Singers,Dan Bern,1998,0.376169925,158.17098,153.88
Irresponsible,Splender,1999,0.539872647,188.39465,170.446
False Gods,Ian Betts,2009,nan,439.03955,136.943
Top 3 MC's on the Wake Up Show (skit),Motion Man feat KutMasta Kurt,2006,nan,34.01098,94.458
Pump Ya Brakes,Will Smith / Snoop Dogg,2005,0.595466577,214.41261,100.017
SOS,Stonebridge,2007,nan,444.13342,127.983
Fa All Y'All,Da Brat,1994,nan,199.96689,192.013
Hamid's On Fire,Fred Anderson,2001,nan,809.29914,113.23
Bullshit Detector,New Mexican Disaster Squad,2006,0.419125893,96.02567,122.544
Heaven,Blessid Union Of Souls,1995,0.447476396,273.44934,94.792
Lies (Album Version),Joe Firstman,2003,0.515055931,305.8673,130.282
Seesaw (Single/LP Version),Don Covay,2007,nan,180.87138,136.105
Brave And Crazy (acoustic version),Tom Cochrane,1997,nan,271.56853,182.544
Listen To The Rock,The Joe Perry Project,1981,0,199.83628,103.561
Passive Aggressive,Placebo,2000,0.840036258,324.0224,109.082
Beautiful Dirt,Dir en grey,2005,0.78907982,152.842,104.993
Leaves,Grand National,2007,0.360370583,226.92526,130.171
She Wolf,Blessed By a Broken Heart,2008,0.618420822,288.86159,77.574
So Nice,Diana Krall,2009,0.737092671,230.71302,110.494
Pusti nek traje,Parni Valjak,1990,0.43483809,231.65342,141.4
The Ripper,Lita Ford,1990,nan,317.33506,199.767
Took You For Granted,Cloud Cult,2003,0.480934213,191.29424,119.998
Your Place or Mine,Audion,2004,nan,389.74649,83.313
So So Cold (Album Version),Hot Hot Heat,2007,0.731213363,246.9873,111.966
Heroes Of Telemark (Pole Remix),Appliance,2000,nan,284.02893,96.048
Satie's Atelier - Dub,Up_ Bustle & Out,2010,0.392008771,322.7424,160.07
Bang on the Drum,Watkin Tudor Jones,2005,nan,241.52771,41.847
Take Me In Your Arms (Rock Me A Little While),The Doobie Brothers,1975,0.612451336,228.70159,86.757
Hostility Dose,Eyehategod,1992,nan,162.11546,78.294
What Have They Done?,Max Richter,2008,nan,112.06485,187.786
Escalation,Rie Tomosaka,1996,nan,294.21669,112.147
Antwerpen,Enter Shikari,2009,0.796067922,194.71628,85.537
Burgundy Street Blues,George Lewis And His New Orleans Stompers,1996,nan,261.58975,72.021
(War!) Not In My Name,Goldblade,2005,nan,171.98975,192.95
La Partida,Inti Illimani,2004,0.557403808,212.71465,165.641
I'll Be Your Lampshade,Beulah,2001,0.700508021,250.98404,108.029
Home Sweet Home,Kostia,1996,nan,196.85832,92.489
Cold Desert,Marygold,2006,0.212045405,250.67057,91.779
Woods Children_ Pt. 2,Woods,2007,nan,156.99546,174.026
it won't be long now,Spearmint,1999,0.400039657,157.98812,116.338
Insomnia,Dark Fortress,2006,0.717176378,391.07873,115.792
Mother,Ashanti,2008,0.633547082,310.69995,116.022
The Fury,Christophe Beck,2010,nan,136.04526,116.913
Little Shadow,Yeah Yeah Yeahs,2009,0.669154937,173.34812,100.826
Simple Things (Digitally Remastered 93),Minnie Riperton,1993,0,221.49179,102.832
Ihr Kinderlein kommet,Die Roten Rosen,1998,0.437036204,99.89179,98.845
The Insight And The Catharsis,Dimmu Borgir,1998,nan,435.93098,87.569
Gravel On The Ground,John Denver,1981,0,147.17342,176.768
It Can't Rain All The Time,Bloodlined Calligraphy,2006,0.494489518,259.76118,203.722
Dancin' To Sweet 17 (LP Version),Tracy Lawrence,1991,nan,193.77587,91.388
Closer,Tracie Spencer,1999,0,262.55628,141.828
Lover's Sky,Masters of Reality,1999,0.456949544,176.03873,145.666
Burn Me Out From The Inside,The Sight Below,2010,0.589037467,366.49751,124.127
At Night,Shakedown,2001,nan,387.29098,124.117
Speak Low,Cal Tjader,1951,nan,364.69506,61.418
The Viper,Freddie & The Dreamers,1992,nan,115.06893,153.143
El Boss Dicho,Bow Wow Wow,1982,0.473346541,131.65669,113.65
Introskit: Rap Is My Bitch,Rhymin Simon,2003,0.266955186,54.43873,61.944
Starkstrom Elektriker,Die Türen,2004,0.323112121,177.21424,140.048
Wives Do It All the Time,Cledus T. Judd,2004,nan,174.73261,177.821
Sign Of The Times (LP Version),Terry Callier,1979,nan,298.29179,113.767
Rock & Roll Queen (album version),The Subways,2005,0.582963429,171.57179,70.522
I'm On E (2001 Digital Remaster) (24-Bit Digital Remaster),Blondie,1977,nan,138.08281,203.557
All Over But The Shoutin',Shenandoah,1996,0.334706549,175.09832,168.411
Grito,Pólo Norte;Miguel Angelo,2000,nan,238.28853,117.126
Di Quello Che Ho Perso,Tiromancino,1995,0.413626493,266.10893,121.751
The Closer To The Bone_ The Sweeter The Meat,Blakfish,2009,0.507489844,272.63955,90.133
"MX (LP Version w/ Hidden track ""Damone"")",Deftones,1997,0.796786774,2238.74567,0
Honey Chile,Jerry Reed,1999,nan,139.44118,120.585
It Makes A Fellow Proud To Be A Soldier,Tom Lehrer,1959,nan,305.29261,84.049
Go On,Wilshire,2003,nan,199.20934,96.104
Hustlenomics (Amended Album Version),Yung Joc,2007,nan,186.33098,168.293
Stayin 4Eva (Explicit LP Version),Benzino,2002,0.375984302,237.89669,88.831
My Sweetie Went Away,Susannah McCorkle,2003,0.246181888,195.99628,82.863
Expresso 2222,Gilberto Gil,1972,nan,253.09995,144.471
Not About A Girl Or A Place,Jonah Matranga,2007,nan,213.89016,151.88
Long Haired Doney,R.L. Burnside,1969,nan,186.80118,180.329
Past Times Behind,Hall & Oates,1993,nan,184.39791,167.349
Keepin Strong,Plastilina Mosh,2003,0.360370583,270.28853,165.992
Girl In The Life Magazine,Boyz II Men,1997,0.614362971,208.92689,39.329
You May Have Already Won,Gas Huffer,1998,0,180.45342,125.224
Jesus Shaves,The Roches,2007,0.334706549,254.22322,96.188
USHINAWARETA FUUKEI NO YUME,Rentrer En Soi,2007,0.510029495,199.07873,108.023
Madame Ray,The Long Blondes,2006,nan,210.442,151.086
Dis Lui Toi Que Je T'Aime,Vanessa Paradis,1990,0,265.53424,95.216
Grotesquery conceiled (within measureless magic),Dimmu Borgir,1998,nan,309.65506,141.792
Needle And Haystack Life (Album Version),Switchfoot,2009,0.345802234,226.48118,160.017
Fallen,Triinu Kivilaan,2008,nan,218.87955,119.935
Hoy no me puedo levantar,Fey,2004,0.584154213,262.76526,125.004
Hoda Instrumental,Tungtvann,2000,nan,247.97995,179.803
Sympathy For The Devil,Guns N' Roses,1994,0.746969798,455.52281,109.025
Jockey Full Of Bourbon,Youn Sun Nah,2008,0.443291312,221.80526,103.071
Under Your Spell,PRIMAL FEAR,1999,0.535953802,334.81098,112.316
The Fine Print,King Geedorah,2003,nan,269.34812,179.941
Sauron,220 Volt,1997,nan,270.34077,142.669
Tiger Nights,The Bongos,1992,0.310791536,245.08036,136.061
He Had The Smell Of Wyoming Sagebrush,If Thousands,2002,nan,628.71465,47.425
Dis Dat Block,YoungBloodZ,2005,0.547952942,216.05832,177.976
Pull Me Closer_ Violent Dancer,Project 86,2007,0.644353909,236.06812,90.992
F*** You H***,David Banner / Jim Jones,2008,0,267.75465,96.019
Mollami,Articolo 31,1994,0.413626493,237.63546,92.997
Wiggle Worm,G. Love & Special Sauce,2008,0.678881545,245.39383,95.234
Voting (LP Version),Lewis Black,2005,0.517376318,212.74077,53.263
Apostle's Warning,Mobb Deep,1996,0.612648356,241.73669,90.035
Mystery Train,Little Junior's Blue Flames,1999,nan,146.31138,94.588
Die kleine Zockerin,Udo Lindenberg,2000,0,395.72853,81.644
The End,Bjorn Berge,1999,0.39690522,101.32853,149.85
About A Burning Fire (Album Version),Blindside,2004,0.750340175,274.83383,138.195
We've Already Been Here Before,Shayna Steele,2009,nan,183.74485,83.32
Blue's Gaen Oot O'the Fashion,Rachel Unthank And The Winterset,2007,nan,270.96771,127.838
Don't Bring Me Down,Gentleman Reg,2004,0.43483809,319.26812,116.819
You and Us,Miss Kittin & The Hacker,2000,0.591758451,373.02812,134.841
Crazy,Roberta Gambarini,2009,0.556138023,300.09424,147.82
Mir Kann Nichts Passieren (Jonas Behring Remix),2raumwohnung,2007,nan,352.23465,124.994
Pal' Monte,Sierra Maestra,2010,0.352232225,229.66812,163.98
Hello Amsterdam,American Music Club,1994,0.473346541,208.87465,135.606
Eu Casei Com A Bonita,Fausto,1996,nan,191.39873,102.594
Metal Daze,Manowar,1982,0.643909525,260.46649,178.685
Optimistic,Summer At Shatter Creek,2005,0.356588238,193.82812,111.759
Free Song,Rick Wakeman,1975,nan,120.47628,154.889
Souse!,Max Tundra,2002,0.212045405,242.59873,139.653
Don't You (Richard Grey Remix),Wally Lopez,2006,nan,483.91791,85.988
Would You Even Say Hello,The Green Pajamas,2002,nan,210.6771,125.632
Wild Again,Roger Chapman,1987,nan,339.56526,93.501
Madagáscar Olodum,Olodum,1987,0.413752422,259.60444,91.47
Wires And The Concept Of Breathing,A Skylit Drive,2008,0.729641668,150.62159,164.872
She Can Get It,Barkays,1994,0.266955186,207.20281,112.009
Gigigisela,Vicki Vomit,2005,nan,168.25424,157.555
rios,Murcof,2005,0,510.69342,120.018
Song Of Deborah,I Hate Sally,2007,nan,595.40853,151.027
Go-Go Girl,Lee Dorsey,1967,0.503381236,143.20281,161.922
Good Kind Of Love,Brian Wilson,2008,0.533898022,199.88853,137.778
Abuela,Les Négresses Vertes,2001,0.386477291,296.77669,123.91
Para toda la vida,El sueño de Morfeo,2007,0.535826952,239.67302,154.129
Sons Of Revolution,Angelus Apatrida,2003,0.456949544,295.65342,190.035
The Apex,Neuraxis,2005,nan,358.47791,196.821
Paul,Feel,2007,0.525049149,344.37179,151.592
You're Beautiful,Kenny G,2006,0.721255016,252.86485,163.358
I Hate the Way I Love You,Joe Nichols,1996,0.719767541,189.46567,121.909
Music Alone,Ginjah,2007,0.538422403,243.35628,154.082
A Dama Do Apocalipse,Elis Regina,1977,0.44082644,218.85342,149.662
Infinity,Yves Deruyter,2006,nan,548.72771,128.073
Intro,Kirk Franklin,2002,nan,25.49506,99.894
A Little Bumpin',Lee Ritenour / Harvey Mason / Bob James,1993,0.817665694,268.56444,102.994
Introduction,The Dubliners,1996,nan,35.63057,46.04
When I See You Smile,John Waite,2007,0.714806315,312.73751,126.386
Waschmaschine,Niels Frevert,2008,0.523367881,188.26404,103.053
Yours Is The Love,Urban Cookie Collective,1994,0.265861049,283.14077,0
Soy Del Reino De Almería,Enrique Morente,1968,nan,224.86159,37.368
The resonating circle,Scarve,2002,0,232.4371,101.675
Friday Night (Hundred Dollar Bill),G. Love & Special Sauce,1999,0.675963633,249.18159,96.099
Afternoon Train (demo),Air Miami,1994,nan,132.70159,121.935
Not Fragile,Bachman-Turner Overdrive,1974,0.579770041,247.48363,84.078
Where You Are,Jes,2010,0.662806254,212.68853,124.088
Tell Me How It Feels,The Sweetest Ache,1990,nan,294.89587,90.739
Grooving On A Inner Plane,Robyn Hitchcock,1986,nan,252.1073,100.911
Poker Face,The Real Booty Babes,2009,0.407233015,184.31955,140.056
Rewind [Live At Isle Of Wight Festival],Paolo Nutini,2006,0.430160637,274.23302,87.789
Mi Fracaso,Elvis Crespo,2007,0.428547506,245.7073,110.992
Für alle_ die,Klee,2004,0.542307526,229.61587,133.98
Three Fishers,Joan Baez,1963,0.33888672,164.67546,38.411
Sydämeeni joulun teen,Antti Tuisku,2005,0.304169503,280.71138,122.834
Rewind [Album Version],Paolo Nutini,2006,0.413739836,259.89179,87.265
Monkey Run,Johnny Dowd,2002,0,251.34975,113.036
When The Sun Comes Down,R.I.O.,2008,0.439202489,213.57669,140.015
Caravansary,Kitaro,1983,nan,277.21098,123.218
I'd Like To (Weekender Mix),Corinne Bailey Rae,2007,0.568124796,210.02404,87.565
Haunt You Every Day,Weezer,2005,nan,277.05424,83.064
Lamb And The Lion,The Mae Shi,2008,nan,143.3073,200.248
Weakness,Opeth,2003,nan,248.842,90.727
4:00 A.M.,Marion Meadows,1999,nan,265.16853,101
Changes,3 Doors Down,2002,0.696032971,236.93016,159.531
Let Me Go,Kary Ng,2007,0.323112121,223.81669,132.95
Drive My Car (LP Version),Black Heat,1975,nan,193.61914,122.549
Yuido,Mad EP,2006,0,182.41261,95.119
Behind Each Other Backs,4 Or 5 Magicians,2009,0,258.08934,142.461
(i Am) The Riverside,Flexa Lyndo,2002,nan,122.40934,132.226
She's Just Laughing At Me,Tiny Tim,2006,0.290227116,142.75873,147.17
Butterflies Talk,Brandon Fields,1988,0,192.1824,101.434
Takes Time To Love,Trey Songz,2009,0.750919522,165.45914,99.899
Boy Void,No Age,2007,0.760968773,105.1424,109.979
